timestamp_hour;user_language;device;Out;In
12;en;instagram;host;bts
12;en;instagram;bts;menswear
12;en;instagram;menswear;bts
12;en;instagram;bts;armani
12;en;instagram;armani;bts
12;en;instagram;bts;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;bts
12;en;instagram;production;pilot
12;en;instagram;pilot;production
12;en;instagram;production;tv
12;en;instagram;tv;production
12;en;instagram;production;host
12;en;instagram;host;production
12;en;instagram;production;menswear
12;en;instagram;menswear;production
12;en;instagram;production;armani
12;en;instagram;armani;production
12;en;instagram;production;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;production
12;en;instagram;pilot;tv
12;en;instagram;tv;pilot
12;en;instagram;pilot;host
12;en;instagram;host;pilot
12;en;instagram;pilot;menswear
12;en;instagram;menswear;pilot
12;en;instagram;pilot;armani
12;en;instagram;armani;pilot
12;en;instagram;pilot;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;pilot
12;en;instagram;tv;host
12;en;instagram;host;tv
12;en;instagram;tv;menswear
12;en;instagram;menswear;tv
12;en;instagram;tv;armani
12;en;instagram;armani;tv
12;en;instagram;tv;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;tv
12;en;instagram;host;menswear
12;en;instagram;menswear;host
12;en;instagram;host;armani
12;en;instagram;armani;host
12;en;instagram;host;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;host
12;en;instagram;menswear;armani
12;en;instagram;armani;menswear
12;en;instagram;menswear;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;menswear
12;en;instagram;armani;https://t.co/y3ear4nuyr
12;en;instagram;https://t.co/y3ear4nuyr;armani
12;en;web;capsuleshow;complexstyle
12;en;web;complexstyle;capsuleshow
12;en;http://foursquare.com;youthfullygrown;https://t.co/qygjyfu2r5
12;en;http://foursquare.com;https://t.co/qygjyfu2r5;youthfullygrown
12;en;web;hiring;channelmarketing
12;en;web;channelmarketing;hiring
12;en;instagram;meeting;nyc
12;en;instagram;nyc;meeting
12;en;instagram;meeting;booked
12;en;instagram;booked;meeting
12;en;instagram;meeting;https://t.co/h7m0gqlur5
12;en;instagram;https://t.co/h7m0gqlur5;meeting
12;en;instagram;nyc;booked
12;en;instagram;booked;nyc
12;en;instagram;nyc;https://t.co/h7m0gqlur5
12;en;instagram;https://t.co/h7m0gqlur5;nyc
12;en;instagram;booked;https://t.co/h7m0gqlur5
12;en;instagram;https://t.co/h7m0gqlur5;booked
12;en;iphone;mmviverito;cmdebirose
12;en;iphone;cmdebirose;mmviverito
12;en;iphone;mmviverito;stevenmatteo
12;en;iphone;stevenmatteo;mmviverito
12;en;iphone;mmviverito;john
12;en;iphone;john;mmviverito
12;en;iphone;cmdebirose;stevenmatteo
12;en;iphone;stevenmatteo;cmdebirose
12;en;iphone;cmdebirose;john
12;en;iphone;john;cmdebirose
12;en;iphone;stevenmatteo;john
12;en;iphone;john;stevenmatteo
13;en;iphone;fcabrerany;palmaannabel
13;en;iphone;palmaannabel;fcabrerany
13;en;iphone;fcabrerany;robertcornegyjr
13;en;iphone;robertcornegyjr;fcabrerany
13;en;iphone;fcabrerany;benkallos
13;en;iphone;benkallos;fcabrerany
13;en;iphone;palmaannabel;robertcornegyjr
13;en;iphone;robertcornegyjr;palmaannabel
13;en;iphone;palmaannabel;benkallos
13;en;iphone;benkallos;palmaannabel
13;en;iphone;robertcornegyjr;benkallos
13;en;iphone;benkallos;robertcornegyjr
13;en;web;brettlogiurato;bysamro
13;en;web;bysamro;brettlogiurato
13;en;web;peekskillpolice;peekskillfire
13;en;web;peekskillfire;peekskillpolice
13;en;web;peekskillpolice;blkwestchesterm
13;en;web;blkwestchesterm;peekskillpolice
13;en;web;peekskillpolice;oneredcrosscny
13;en;web;oneredcrosscny;peekskillpolice
13;en;web;peekskillpolice;westchestergov
13;en;web;westchestergov;peekskillpolice
13;en;web;peekskillfire;blkwestchesterm
13;en;web;blkwestchesterm;peekskillfire
13;en;web;peekskillfire;oneredcrosscny
13;en;web;oneredcrosscny;peekskillfire
13;en;web;peekskillfire;westchestergov
13;en;web;westchestergov;peekskillfire
13;en;web;blkwestchesterm;oneredcrosscny
13;en;web;oneredcrosscny;blkwestchesterm
13;en;web;blkwestchesterm;westchestergov
13;en;web;westchestergov;blkwestchesterm
13;en;web;oneredcrosscny;westchestergov
13;en;web;westchestergov;oneredcrosscny
13;en;iphone;cmreynoso34;eric
