"5001","134288265","Place Varillon (funiculai","Devant le n°63 rue de Trion","2006-07-07 00:00:00","2087140","792799","45.7572","4.8153"
"5002","134288266","Place des Compagnons de l","Angle rue des Aqueducs","2005-07-14 00:00:00","2087020","791352","45.7565","4.79669"
"5004","134288268","St Jean","Entre la cathédrale et le funiculaire","2005-05-27 00:00:00","2087510","793671","45.7605","4.82656"
"5005","134288269","Saint Paul","Près de la gare de St Paul","2005-09-17 00:00:00","2088160","793728","45.7663","4.82736"
"5006","134288270","Quai Romain Rolland","Face ancien Palais de Justice","2005-07-06 00:00:00","2087710","793855","45.7621","4.82884"
"5007","134288271","Place de Trion","Place de Trion","2005-09-28 00:00:00","2087230","792634","45.7579","4.81318"
"5008","134288272","Sainte Irénée","Place Sainte Irénée","2005-10-30 00:00:00","2086840","792608","45.7554","4.81272"
"5009","134288273","Place Fousseret","angle quai de Bondy","2005-06-27 00:00:00","2088000","793855","45.7647","4.82894"
"5015","134288279","Fulchiron","Devant le n°41 rue de la Quarantaine","2006-06-27 00:00:00","2086560","793336","45.752","4.82166"
"5016","134288280","Mairie du 5°","Devant la mairie du 5°","2005-06-24 00:00:00","2087090","791648","45.7576","4.80096"
"5026","134288290","Rue de la Baleine","Angle quai Romain Rolland","2005-07-18 00:00:00","2087860","793865","45.7635","4.82896"
"5029","134288293","Place Gerson","Prox. Quai Pierre Scize","2005-09-21 00:00:00","2088260","793721","45.767","4.82698"
"5030","134288294","Charcot / Résidence Unive","Angle rue du fort Ste Irénée / Charcot","2005-09-23 00:00:00","2086920","792344","45.7548","4.80737"
"5031","134288295","Ménival / Joliot Curie","Rue Joliot Curie","2007-11-01 00:00:00","2086790","790738","45.7547","4.78824"
"5033","134288297","César Geoffray",,"2006-10-17 00:00:00","2086210","790427","45.75","4.7841"
"5036","134288300","La Salette","Rue du commandant Charcot","2006-10-14 00:00:00","2086240","791292","45.7497","4.79561"
"5040","134288304","Place Crépu","127 quai Fulchiron","2007-01-31 00:00:00","2087230","793654","45.7579","4.82622"
"5041","134288305","L Homme de la Roche","55 quai Pierre Scize","2007-09-09 00:00:00","2088190","793154","45.7666","4.82001"
"5044","134288308","Champvert","85 rue du docteur Locard","2007-10-23 00:00:00","2087390","791335","45.7598","4.79662"
"5045","134288309","Valdo / Rivet","Rue Jeunet","2007-11-04 00:00:00","2086320","790782","45.7505","4.78877"
"5047","134288311","Albéric Pont","2bis rue du docteur Albéric Pont","2007-10-11 00:00:00","2086700","791995","45.7534","4.80446"
"5049","134288313","Lycée Branly","Rue Mère Elisabeth Rivet","2007-11-01 00:00:00","2086640","791093","45.7533","4.79285"
"5050","134288314","Théâtres Romains","50 rue de l Antiquaille","2007-10-27 00:00:00","2087280","793258","45.7584","4.82108"
"5053","134288317","Saint Just","Face au n°8 rue de Trion","2007-10-10 00:00:00","2087010","793110","45.7561","4.81931"
"5054","134288318","Champvert","192 avenue Barthélémy Buyer","2007-11-04 00:00:00","2087800","791220","45.7639","4.79271"
"5055","134288319","Buyer / Apollinaire","150m à l ouest du 101 avenue Barthélémy Buyer","2007-10-30 00:00:00","2087680","791798","45.7618","4.80306"
"6001","134289265","6001 - GARE DES BROTTêUX",,"0000-00-00 00:00:00","2088330","796191","45.766969","4.858854"
"6002","134289266","Porte des Enfants du Rhôn","Le long des grill","2005-06-04 00:00:00","2089430","795025","45.7774","4.84488"
"6003","134289267","Avenue Verguin","Devant l entrée du parc","2005-05-27 00:00:00","2088970","795971","45.7729","4.85632"
"6004","134289268","Foch","Angle rue Vendôme","2005-05-27 00:00:00","2088520","795069","45.7689","4.84476"
"6005","134289269","Place Edgar Quinet","Devant le lycée","2005-05-27 00:00:00","2088170","795080","45.7658","4.84473"
"6006","134289270","Boulevard des Belges","Boulevard des Belges - Angle rue Duquesne","2005-05-30 00:00:00","2089010","795588","45.7733","4.85183"
"6007","134289271","Masséna","Angle Cours Vitton","2005-08-08 00:00:00","2088620","795662","45.7696","4.85241"
"6008","134289272","Gare des Brotteaux","Place Jules Fer","2007-08-28 00:00:00","2088460","796193","45.7684","4.85907"
"6011","134289275","Mairie du 6°","Angle rue Boileau","2005-06-15 00:00:00","2088460","795425","45.7684","4.8495"
"6012","134289276","Place Puvis de Chavannes","Angle rue Vendôme","2005-05-27 00:00:00","2088830","795052","45.7718","4.84458"
"6016","134289280","Viabert / Thiers","Angle avenue Thiers","2005-09-19 00:00:00","2088270","796415","45.766","4.86209"
"6020","134289284","Musée Guimet","Angle rue Morellet","2005-08-01 00:00:00","2089070","795461","45.7745","4.84838"
"6021","134289285","Garibaldi","Entre rue Crillon et rue Sully","2005-09-26 00:00:00","2088710","795475","45.7709","4.84997"
"6022","134289286","Place Maréchal Lyautey","Pierre Corneille/cours Franklin Roosevelt","2005-06-09 00:00:00","2088440","794921","45.7688","4.84254"
"6023","134289287","Quai Sarail","Niveau rue de Sèze","2005-06-18 00:00:00","2088330","794775","45.7668","4.84114"
"6024","134289288","Tronchet / Anatole France","Angle bvd Anatole France","2005-05-31 00:00:00","2088760","796125","45.7707","4.85678"
"6028","134289292","Recammier / Tête d Or","Angle rue Tête d Or","2005-08-02 00:00:00","2088040","795789","45.7644","4.85343"
"6031","134289295","Lafayette / Corneille","Angle cours Lafayette","2005-07-27 00:00:00","2087940","795090","45.7638","4.84374"
"6032","134289296","Préfecture / Sarrail","Angle rue Vauban","2005-05-27 00:00:00","2088050","794841","45.7648","4.84161"
"6035","134289299","Cité Internationale","Face parvis du palais des congrès","2005-10-27 00:00:00","2090400","795774","45.7854","4.85412"
"6036","134289300","Musée d Art Contemporain","Allée Achille Lignon","2005-09-29 00:00:00","2090280","795543","45.7839","4.85245"
"6037","134289301","Cité Internationale / Int","Allée Achille Lignon","2005-09-29 00:00:00","2089870","795190","45.7823","4.84934"
"6040","134289304","Les Halles","A proximité de la place de l Europe","2006-10-11 00:00:00","2087990","795486","45.7642","4.84987"
"6041","134289305","Cité Internationale / Têt","Allée Achille Lignon","2007-07-26 00:00:00","2090420","796189","45.7846","4.85964"
"6042","134289306","Cité Internationale / Rés","Allée Achille Lignon","2007-09-30 00:00:00","2090420","795966","45.7849","4.85561"
"6043","134289307","Cité Internationale / Cin",,"0000-00-00 00:00:00","2090330","795556","45.7847","4.85221"
"6044","134289308","Charmettes / Bellecombe","Angle rue de la Viabert / rue Sainte-Geneviève","2007-05-18 00:00:00","2088280","796622","45.7664","4.86508"
"6045","134289309","Brotteaux / Vauban","44 bd des Brotteaux","2007-09-25 00:00:00","2088250","796009","45.7663","4.85683"
"7001","134290265","Place Gabriel Péri","Place Gabriel Péri","2005-05-25 00:00:00","2086950","795037","45.7549","4.84374"
"7002","134290266","Universités Lyon III / Ly","Quai Claude Bernard","2005-09-05 00:00:00","2086520","794458","45.7513","4.83635"
"7003","134290267","Gambetta / Garibaldi","Cours Gambette - Prolongement rue Rachais","2005-05-26 00:00:00","2086620","795765","45.7518","4.85253"
"7004","134290268","Mairie du 7ème","Place Jean Macé - Face à la mairie","2005-06-15 00:00:00","2085980","794944","45.7462","4.84198"
"7005","134290269","Debourg","Avenue Debourg - Angle avenue Jean Jaurès","2005-05-26 00:00:00","2084310","794316","45.7315","4.83328"
"7006","134290270","Gerland","Avenue Jean Jaurès - Au niveau du square Galtier","2005-05-27 00:00:00","2083820","794142","45.7272","4.83104"
